,0,1,2
0,10000.0,10000.0,10000.0
1,10000.0,10000.0,10000.0
2,10000.0,10000.0,10000.0
3,7854.0256719381905,7359.01681201648,8082.237887090151
4,7365.529392408919,7663.599807346651,9613.224728860987
5,10000.0,10000.0,7491.094539186201
6,10000.0,10000.0,7610.2062276818915
7,10000.0,10000.0,9634.6138412801
8,10000.0,10000.0,10000.0
9,10000.0,10000.0,7490.291819881756
10,8814.575425353007,7906.671125540043,7490.073196587157
11,8788.941239548232,7880.915733873799,8970.022534067946
12,10000.0,10000.0,8327.802464123159
13,8538.03486267278,7628.971233286452,7801.944158045674
14,8432.56037107305,7523.124148417554,7463.661678738091
15,7496.329505643943,7439.530493018774,9493.748487172532
16,7175.029577784571,7116.550954707629,7462.261187163385
17,7283.225192926575,7772.951789367779,10000.0
18,9318.661394326626,8413.643779535261,10000.0
19,7186.749519126227,7621.5543783715275,10000.0
20,10000.0,10000.0,10000.0
21,10000.0,10000.0,10000.0
22,10000.0,10000.0,10000.0
23,10000.0,10000.0,10000.0
24,7251.557815643219,8161.646391577404,10000.0
25,10000.0,10000.0,10000.0
26,10000.0,10000.0,10000.0
27,10000.0,10000.0,10000.0
28,7381.414138072207,8291.115226794811,10000.0
29,10000.0,10000.0,10000.0
30,10000.0,10000.0,10000.0
31,10000.0,10000.0,10000.0
32,10000.0,10000.0,10000.0
33,10000.0,10000.0,7455.141241890516
34,10000.0,10000.0,9816.142080590824
35,10000.0,10000.0,8651.36983778776
36,10000.0,10000.0,7447.403986163452
37,10000.0,10000.0,7471.412405078244
38,10000.0,10000.0,9747.641001077716
39,10000.0,10000.0,10000.0
40,10000.0,10000.0,10000.0
41,10000.0,10000.0,10000.0
42,7086.039734351067,7613.9217893762,10000.0
43,10000.0,10000.0,8580.332760587822
44,7883.96294498071,7144.320236170255,10000.0
45,7211.021592718965,8121.215039272118,10000.0
46,7639.160848360755,7155.9223608827115,10000.0
47,10000.0,10000.0,7492.851882371921
48,7095.350148486248,7135.320564202842,10000.0
49,10000.0,10000.0,8657.133088614795
50,10000.0,10000.0,8706.516149804209
51,10000.0,10000.0,10000.0
52,10000.0,10000.0,7491.386864300565
53,10000.0,10000.0,7485.296567757463
54,10000.0,10000.0,8328.741882049188
55,10000.0,10000.0,7487.821691836424
56,10000.0,10000.0,8402.53659573925
57,7376.873382449702,8286.588807295037,10000.0
58,10000.0,10000.0,8923.384455452537
59,10000.0,10000.0,10000.0
60,10000.0,10000.0,10000.0
61,10000.0,10000.0,10000.0
62,10000.0,10000.0,10000.0
63,9873.573529530251,8972.831752151007,7484.93731959415
64,8373.315236240489,7463.67568888697,7483.9334192730985
65,10000.0,9656.058796764915,7491.167599158996
66,10000.0,10000.0,7819.759781903628
67,10000.0,10000.0,8796.0810957132
68,8354.347134976515,7444.66059842592,7474.284407475143
69,8540.870295443949,7631.81842563053,10000.0
70,8327.879863639911,7418.114057216394,7562.761981724542
71,9684.488495954409,8782.18324241993,10000.0
72,7635.5298818459705,7130.792609177099,7452.223125371493
73,7717.4717017488165,8625.828731047857,10000.0
74,7509.840561791233,7117.388894020622,7443.230525873526
75,7939.844718323202,7116.793470920406,7474.2900802573
76,7821.243092281177,7148.910908272634,8346.623393478596
77,10000.0,10000.0,10000.0
78,10000.0,10000.0,10000.0
79,10000.0,10000.0,10000.0
80,7078.608144872504,7120.016317047274,9629.778470476163
81,10000.0,10000.0,10000.0
82,10000.0,10000.0,9305.82158485879
83,10000.0,10000.0,10000.0
84,8324.524075317871,7414.7373574943185,10000.0
85,7503.653166460619,8412.922537000013,10000.0
86,7141.312313688059,7135.853836415479,10000.0
87,7336.888971158612,7143.485018222227,7476.529859671699
88,10000.0,9508.302411212475,7683.077037300173
89,7950.452336711164,7126.016371040619,8721.674255932363
90,10000.0,10000.0,10000.0
91,10000.0,10000.0,10000.0
92,7146.706616590577,7131.839225131921,7464.084957007617
