Latitude,,Longitude,
X,Y,X,Y
13.373104648272431,28.389830508474574,13.373104648272431,-80.7124921531701
40.428646394343644,28.389830508474574,40.428646394343644,-80.43253751290911
67.48418814041483,28.389830508474574,67.48418814041483,-80.09259259259261
94.53972988648601,28.6097948686795,94.53972988648601,-80.09259259259261
121.59527163255723,28.69978028876332,121.59527163255723,-80.09259259259261
148.6508133786284,28.889749508940326,148.6508133786284,-80.04260069254605
175.7063551246996,29.009730069052097,175.7063551246996,-79.5026881720429
202.76189687077084,29.009730069052097,202.76189687077084,-78.9227821315028
229.81743861684203,29.009730069052097,229.81743861684203,-78.40286637101832
256.8729803629132,29.009730069052097,256.8729803629132,-77.87295223052473
283.9285221089844,29.009730069052097,283.9285221089844,-77.30304456999363
310.9840638550556,29.009730069052097,310.9840638550556,-76.22321952898767
338.0396056011268,29.129710629163867,338.0396056011268,-75.07340582791659
365.095147347198,29.41966364943403,365.095147347198,-73.98358240690112
392.1506890932692,29.62962962962962,392.1506890932692,-72.86376384585787
419.2062308393404,29.62962962962962,419.2062308393404,-71.74394528481474
446.26177258541156,29.929581029909087,446.26177258541156,-70.36416884352917
473.31731433148275,29.939579409918395,473.31731433148275,-68.59445558188037
500.37285607755393,30.209535670169885,500.37285607755393,-66.69476338011071
527.4283978236252,30.24952919020714,527.4283978236252,-64.75507765830355
554.4839395696964,30.24952919020714,554.4839395696964,-62.775398416459154
581.5394813157676,30.24952919020714,581.5394813157676,-60.845711074661324
608.5950230618388,30.24952919020714,608.5950230618388,-58.84603507279826
635.65056480791,30.219534050179192,635.65056480791,-56.93634449101933
662.7061065539812,29.939579409918395,662.7061065539812,-54.99665876921216
689.7616483000523,29.939579409918395,689.7616483000523,-53.02697790737699
716.8171900461235,29.929581029909087,716.8171900461235,-51.057297045541986
743.8727317921947,29.62962962962962,743.8727317921947,-49.19759836380939
770.928273538266,29.62962962962962,770.928273538266,-47.19792236194644
797.9838152843372,29.62962962962962,797.9838152843372,-45.25823664013933
825.0393570304084,29.44965878946195,825.0393570304084,-43.46852661847197
852.0948987764796,28.899747888949634,852.0948987764796,-41.73880687686045
879.1504405225508,28.439822408521138,879.1504405225508,-39.98909037523032
906.2059822686219,27.919906648036772,906.2059822686219,-38.28936577364681
933.2615240146931,27.429986027580327,933.2615240146931,-36.7596136322216
960.3170657607643,26.97006054715183,960.3170657607643,-35.38983557094548
986.9362278012538,26.437146892655363,986.9362278012538,-34.00306026365348
