Latitude,,Longitude,
X,Y,X,Y
13.480508901636767,34.2507645259939,13.480508901636767,-120.61475731200505
40.52988727124625,33.94103348231789,40.52988727124625,-120.70467922791096
67.57926564085574,33.94103348231789,67.57926564085574,-120.92448835568104
94.62864401046522,33.94103348231789,94.62864401046522,-120.92448835568104
121.67802238007474,33.90106818635971,121.67802238007474,-120.92448835568104
148.72740074968422,33.63130243864188,148.72740074968422,-120.92448835568104
175.7767791192937,33.351545366934545,175.7767791192937,-120.92448835568104
202.8261574889032,33.0518056472481,202.8261574889032,-121.23421939935702
229.87553585851268,32.34242164399018,229.87553585851268,-121.29416734329436
256.92491422812213,31.443202484930794,256.92491422812213,-121.54395044303305
283.9742925977316,30.37413081804914,283.9742925977316,-121.54395044303305
311.0236709673411,29.295067827177917,311.0236709673411,-121.87366413468811
338.0730493369506,28.225996160296233,338.0730493369506,-122.16341253038502
365.1224277065602,27.08698522548775,365.1224277065602,-122.44316960209238
392.17180607616956,25.878035022752414,392.17180607616956,-122.78287461773704
419.22118444577904,24.749015411933442,419.22118444577904,-123.27244949322494
446.27056281538853,23.600013153135393,446.27056281538853,-123.44230200104727
473.319941184998,22.441019570347777,473.319941184998,-123.9918248204724
500.3693195546076,21.302008635539295,500.3693195546076,-124.1516860043053
527.4186979242171,20.14301505275168,527.4186979242171,-124.64126087979298
554.4680762938266,18.78419499017312,554.4680762938266,-124.89104397953167
581.5174546634361,17.355435659667705,581.5174546634361,-125.260722967145
608.5668330330456,15.956650301130907,608.5668330330456,-125.64039327874787
635.616211402655,14.547873618604598,635.616211402655,-125.88018505449702
662.6655897722645,13.089140316130539,662.6655897722645,-126.38974257796394
689.714968141874,11.68036363360423,689.714968141874,-126.53961243780725
716.7643465114835,10.261595627088354,716.7643465114835,-127.08913525723239
743.813724881093,8.802862324614352,743.813724881093,-127.24899644106523
770.8631032507025,7.384094318098448,770.8631032507025,-127.77853661251123
797.912481620312,5.995300283551217,797.912481620312,-128.1482156001245
824.9618599899214,4.516584333098081,824.9618599899214,-128.46793796778996
852.0112383595309,2.9979030866867333,852.0112383595309,-128.82762563141375
879.0606167291404,1.5391697842126746,879.0606167291404,-129.14734799907927
906.1099950987499,-0.019476758156827145,906.1099950987499,-129.50703566270306
933.1593734683594,-1.598105948505463,933.1593734683594,-129.82675803036864
960.2087518379689,-3.0868132229481375,960.2087518379689,-130.18644569399237
986.8218499112944,-4.548210878486088,986.8218499112944,-130.53647507775952
