Latitude,,Longitude,
X,Y,X,Y
5.228469117487016,28.715509324865266,11.18742152417925,-80.57167781387015
16.873920175404287,28.725987237128173,22.82749889437435,-80.46264646878267
28.519371233321543,28.73646514939108,34.47294995229161,-80.45216855651974
40.1648222912388,28.746943061653987,46.11840101020886,-80.44169064425684
51.81003971055946,28.761705905778832,57.763852068126134,-80.43121273199394
63.448481610578234,28.900731773899885,69.4093031260434,-80.42073481973104
75.09276447551244,28.932634345472486,81.05475418396065,-80.41025690746811
86.73214092991768,29.054520486145783,92.69810249450839,-80.36121460844778
98.37759198783493,29.06499839840869,104.33817986470348,-80.2521832633603
110.02304304575219,29.075476310671597,115.97662176472224,-80.11315739523924
121.66849410366945,29.085954222934504,127.6220728226395,-80.10267948297631
133.3139451615867,29.09643213519741,139.2567765051124,-79.8950947050643
144.959396219504,29.106910047460318,150.8963865981143,-79.77749349625292
156.60484727742124,29.117387959723224,162.5294548104109,-79.53991419530728
168.2502983353385,29.12786587198613,174.16626124025336,-79.37089380415266
179.89574939325576,29.138343784249038,185.80493677886875,-79.2361528678935
191.541200451173,29.148821696511945,197.43707043677892,-78.98143383950013
203.18665150909027,29.15929960877485,209.07504505960446,-78.83383810765518
214.83210256700755,29.16977752103776,220.71278604383338,-78.68195744394832
226.47731998632815,29.184540365162604,232.34258331577735,-78.38438909693555
238.11599552494357,29.319281301421732,243.97144603333487,-78.06968102247502
249.76682027058303,29.23120578086005,255.60100966668227,-77.76782774360034
261.4139067986766,29.211689170089386,267.23010602283637,-77.45740460100173
273.05935785659386,29.222167082352293,278.8592023789906,-77.14698145840315
284.7048089145111,29.2326449946152,290.4887660123379,-76.84512817952849
296.3502599724284,29.243122906878106,302.11786236849207,-76.53470503692985
307.9957110303456,29.253600819141013,313.74672508604954,-76.2199969624693
319.645367583002,29.186949957889034,325.37091503167477,-75.81959025077008
331.30039782338054,29.021745663812474,336.99276859133386,-75.37633422045134
342.9465497970876,29.019368780489565,348.6153230667827,-74.94593298571856
354.59200085500487,29.02984669275247,360.23530751766884,-74.4683975005044
366.2374519129221,29.04032460501538,371.8571610773278,-74.02514147018569
377.8829029708394,29.050802517278285,383.47667825102076,-73.53903612124763
389.5283540287566,29.061280429541192,395.08848535102527,-72.91152802086562
396.4792658251016,29.04539456256193,402.01517661285436,-72.48320928482393
