Latitude,,Longitude,
X,Y,X,Y
395.1733741095265,33.02174190453727,394.9612867087378,-75.77074171936874
405.98983154975133,33.269260376987155,405.7777441489626,-75.45061834015837
416.8062889899761,33.51826058222807,416.5942015891874,-75.12160456420173
427.6227464302009,33.767260787469,427.41065902941216,-74.80592638336432
438.4392038704256,34.01329752712788,438.22711646963694,-74.4709856762438
449.2556613106504,34.26229773236879,449.0435739098617,-74.15530749540639
460.07211875087523,34.50685273923663,459.8600313500865,-73.79369559804715
470.8885761911,34.831421316820126,470.6764887903113,-73.32688067252468
481.7050336313248,35.215259206044834,481.49294623053606,-72.85562054862928
492.5214910715496,35.594651896896465,492.30940367076084,-72.38880562310672
503.33794851177436,35.96811765658398,503.1258611109856,-71.90865510246502
514.1544059519991,36.3475103474356,513.9423185512104,-71.3707170029731
524.9708633922239,36.72838477107827,524.7587759914352,-70.74239320322835
535.7873208324487,37.10777746192989,535.57523343166,-70.11406940348363
546.6037782726735,37.48420668719945,546.3916908718847,-69.48722733652974
557.4202357128981,37.84730031734975,557.2081483121095,-68.83519581212849
568.236693153123,38.21632087866415,568.0246057523343,-68.18464602051824
579.0531505933477,38.58830490556064,578.8410631925591,-67.49408944355025
589.8696080335726,38.94695333733784,589.6575206327839,-66.78575207308972
600.6860654737973,39.308565234697106,600.4739780730085,-66.07741470262928
611.5025229140222,39.668695399265324,611.2904355132334,-65.37055906495988
622.3189803542468,40.033270762206655,622.1068929534581,-64.6814842207828
633.1354377944717,40.40229132352105,632.923350393683,-63.98351897985958
643.9518952346964,40.77131188483547,643.7398078339077,-63.223320961713085
654.7683526749213,41.132923782194716,654.5562652741326,-62.474976805894784
665.584810115146,41.49749914513605,665.3727227143572,-61.72366918449447
676.4012675553709,41.86355624086839,676.1891801545821,-60.9960692877506
687.2177249955955,42.22220467264558,687.0056375948068,-60.272914589379866
698.0341824358204,42.58678003558691,697.8220950350317,-59.505307907278194
708.8506398760451,42.957282329692354,708.6385524752563,-58.6828771119084
719.66709731627,43.32037595984267,719.4550099154812,-57.84266552304621
730.4835547564946,43.681987857201925,730.2714673557059,-56.96429931481501
741.3000121967195,44.0495266857253,741.0879247959308,-56.10145014164539
752.1164696369442,44.32223461562271,751.9043822361555,-55.178302675729725
762.9329270771691,44.54604536341611,762.7208396763804,-54.28326697359941
773.7493845173938,44.778746507955724,773.537297116605,-53.404530332170424
784.5658419576187,45.00552072133119,784.3537545568299,-52.53023888911454
795.3822993978433,45.22044107237839,795.1702119970546,-51.65298398047659
803.7597517289978,45.400126673133485,803.6537080286034,-50.97409780312026
