Table 1
County Name,Flown Over X Times,Lattitude Centroid,Longitude Centroid,
'Marion County',87,38.3588724365,-97.0968903589,
'Union County',72,34.8340257189,-83.990719955,
'Jefferson Davis Parish',78,30.2677218795,-92.814120915,
'Eagle County',310,39.6278256159,-106.695299259,
'Stone County',103,36.7470190976,-93.455980976,
'Nez Perce County',38,46.326849228,-116.750277131,
'Fayette County',503,33.4139430365,-84.4941911259,
'Allen County',84,37.8857349436,-95.3013889295,
'Shelby County',108,41.6850925934,-95.31021134,
'Cape May County',40,39.0850981086,-74.8499770137,
'Cheshire County',179,42.9193314277,-72.2511752725,
'Calvert County',296,38.5347120041,-76.5305644689,
'Sandoval County',705,35.6886045558,-106.865950923,
'Washington County',146,36.7152338187,-95.9043661801,
'Maverick County',122,28.7425901306,-100.314514171,
'Sampson County',247,34.9915361594,-78.3713906105,
'Sullivan County',118,36.5129154065,-82.3041428598,
'Rush County',174,39.6199484364,-85.4657611777,
'Saline County',127,39.1368391026,-93.2018512461,
'Anne Arundel County',745,38.9941571642,-76.5675970619,
'Webster County',184,38.4947373058,-80.421873068,
'Putnam County',150,41.2044899818,-89.2857803179,
'Cleburne County',112,35.5381064958,-92.0267180322,
'Itasca County',48,47.5095252347,-93.6320085311,
'Sussex County',524,38.6832973547,-75.3395417153,
'Hancock County',369,39.8235499831,-85.7732376368,
'Jasper County',64,37.2035472717,-94.3406053082,
'Snohomish County',291,48.0460953466,-121.722346726,
'Mason County',148,40.2396222297,-89.9168137955,
'Yakima County',397,46.4570264297,-120.738490426,
'Henderson County',300,32.211900087,-95.8535779226,
'LaGrange County',74,41.6426062358,-85.4264979093,
'Peach County',62,32.5687919024,-83.8268633608,
'Jefferson County',263,39.3076165956,-77.8627359849,
'Tarrant County',2684,32.7715559666,-97.291239244,
'Scott County',124,32.4063798664,-89.5376379602,
'Knox County',93,38.6890898846,-87.4180084675,
'Dawson County',220,40.8699361138,-99.8195657092,
'San Benito County',660,36.6057058971,-121.074995529,
'Granite County',47,46.4044620332,-113.440367846,
'Wexford County',41,44.3383668115,-85.5784138137,
'Smyth County',118,36.843740372,-81.5369666383,
'Isanti County',41,45.5614793413,-93.2951672181,
'Van Zandt County',208,32.5637166985,-95.83651612,
'Ocean County',430,39.8659324961,-74.2499159319,
'Ogle County',170,42.0425663561,-89.3207266558,
'Clay County',127,39.3497164186,-97.1651722307,
'Caldwell County',79,39.6557509891,-93.9827993285,
'Bell County',80,36.7306482485,-83.6740950601,
'Fresno County',495,36.7581801263,-119.649322632,
'Dallam County',209,36.2778878907,-102.60218562,
'Wood County',308,32.7864051416,-95.3820619748,
'Shawano County',55,44.7891558271,-88.7654354834,
'Le Sueur County',79,44.3714339354,-93.7300728963,
'Harford County',540,39.5364361834,-76.2988753861,
'Calumet County',174,44.0816034654,-88.2180579882,
'Pacific County',38,46.5514253133,-123.779667446,
'Monroe County',620,43.3091611082,-77.6801783639,
'Noxubee County',108,33.110112782,-88.5698161858,
'Wasco County',141,45.1600224643,-121.167775167,
'Wilson County',498,36.1548497851,-86.2977463556,
'Schoharie County',131,42.5882192933,-74.4421175889,
'Marion County',67,39.509995074,-80.2433983428,
'Douglas County',66,46.4641098796,-91.8994024936,
'Edgecombe County',222,35.912880671,-77.5970588882,
'Norton city',45,36.931457433,-82.6262026867,
'McClain County',173,35.0093341427,-97.4442882363,
'Warren County',52,33.4089633624,-82.6767617191,
'Cowlitz County',281,46.1932195454,-122.680974546,
'Yadkin County',141,36.1605336919,-80.6652439331,
'Saline County',165,38.7838065024,-97.6499306446,
'DuPage County',2912,41.8519557671,-88.0855946496,
'Fillmore County',65,40.5246661273,-97.5965014328,
'Livingston County',93,37.2097032695,-88.3538137781,
'Adams County',331,39.8714520053,-77.2178797931,
'Utah County',1548,40.1199573141,-111.670334914,
'Kings County',680,40.6343512879,-73.9502045905,
'Todd County',174,36.8355562279,-87.1791532892,
'Northampton County',491,40.7541667046,-75.3075869515,
'Columbiana County',167,40.7684277475,-80.7771865597,
'Marion County',1111,29.2102022904,-82.0566756823,
