Company,Vehicle,Launchpad,Pad Longitude,Pad Latitude,Launch Angle,Launch Distance
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,17589.820243375747
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,17083.3760266507
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20663.231347239645
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,16632.349098620478
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,18137.165212119166
SpaceX,Falcon Heavy,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,18442.997389481276
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-36.3,28.608238,-3.1280478562662726,0.0
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,14418.9820608641
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,21060.670601694357
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20663.71515430248
SpaceX,Falcon 9 Block 5,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,20663.48873610449
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-0.3410537185670196,14979.95979313775
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23378.817271398402
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20431.979097117506
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20927.317844773585
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,19012.695059242946
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20432.023330829146
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20432.332076130777
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20291.43083713055
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23377.061050282675
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20227.643723895224
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,18136.400945943155
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-80.6040912,28.608238,-3.141592653589793,14512.347167550188
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,20927.015316804613
Relativity,Terran 1,"LC-2, Wallops Island",-80.5518,28.5017,-0.34008337363811525,16751.68794787044
Rocket Lab,Electron,"LC-2, Wallops Island",-75.4882321,37.8331751,-0.46459096732795063,15622.599124121378
SpaceX,Falcon 9 + Crew Dragon,"LC-39A, Kennedy Space Center",-36.3,28.608238,2.8139530565539594,0.0
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,20226.11886986873
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23378.38212963044
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23377.873176392513
SpaceX,Falcon 9 Block 5,"SLC-40, Cape Canaveral",-80.577304,28.561837,-0.34064701686476023,23377.880903616417
SpaceX,Falcon 9 Block 5,"SLC-4E, Vandenberg AFB",-120.610605,34.632032,-0.2796165531902819,17518.39377835057
SpaceX,SuperHeavy,"Orbital Launch Pad, Boca Chica",-97.15443,25.9961556,-0.2614507849080952,17924.726482032358
