resourceID,description,startDateTime,company,vehicle
mis_190d9idba,Es'hail 2,2018-11-15T20:45:40.000Z,SpaceX,Falcon 9 Block 5
mis_1bgr3155u,Cygnus NG-10,2018-11-17T09:01:02.000Z,Northrop Grumman,Antares 230
mis_1d87xowti,Falcon Heavy Demo Mission,2018-02-06T20:44:40.000Z,SpaceX,Falcon Heavy
mis_1kitkmxbg,SSO-A,2018-12-03T18:33:45.000Z,SpaceX,Falcon 9 Block 5
mis_eul7jvkk9,CRS-16,2018-12-05T18:15:56.000Z,SpaceX,Falcon 9 Block 5
mis_14h2yzj71,Demo Mission 1 (DM-1),2019-03-02T07:48:40.000Z,SpaceX,Falcon 9 Block 5
mis_3zabw1i85,Falcon Heavy Block 5 // 2xRTLS // 1xDPL,2018-09-25T22:37:40.000Z,SpaceX,Ariane 5 ECA
mis_u5gmih7vp,This One's For Pickering,2018-12-16T06:32:40.000Z,Rocket Lab,Electron
mis_11d2w2c5b,GPS III-2,2018-12-23T13:50:40.000Z,SpaceX,Falcon 9 Block 5
mis_1jfdrsxbf,NROL-71,2019-01-19T19:09:40.000Z,United Launch Alliance,Delta IV Heavy
mis_5ofmb5gti,Iridium-8,2019-01-11T15:31:13.000Z,SpaceX,Falcon 9 Block 5
mis_abuxp5x0x,Beyond Demo,2019-03-31T23:59:40.000Z,NASA,
mis_1i4iibz2w,PSN-6 / GTO-1 / Beresheet,2019-02-22T01:44:40.000Z,SpaceX,Falcon 9 Block 5
mis_diqcjti5k,Arabsat-6A,2019-04-11T22:34:40.000Z,SpaceX,Falcon Heavy
mis_1577ut2gd,STP-2,2019-06-25T06:29:40.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_z1sozkv4j,WGS-10,2019-03-16T00:25:40.000Z,United Launch Alliance,"Delta IV M+(5,4)"
mis_m6m3vbn32,Falcon Heavy // Dragon XL,2019-04-06T23:59:40.000Z,SpaceX,
mis_12c0gh29n,Cygnus NG-11,2019-04-17T20:45:46.000Z,Northrop Grumman,Antares 230
mis_1asd9djzq,CRS-17,2019-05-04T06:48:38.000Z,SpaceX,Falcon 9 Block 5
mis_1ke6ilb1t,MinuteMan-3 (LF-04),2019-05-01T08:15:40.000Z,SpaceX,
mis_j9fwpi6pc,MinuteMan-3 (LF-09),2019-05-01T08:15:40.000Z,SpaceX,
mis_zhzypzd2i,MinuteMan-3 (LF-10),2019-05-01T08:15:40.000Z,SpaceX,
mis_u7s5tk9qd,Vega VV14,2019-03-22T01:50:15.000Z,SpaceX,Vega
mis_1v03vwme0,That's A Funny Looking Cactus,2019-05-05T05:59:40.000Z,Rocket Lab,Electron
mis_yfiqishp8,Starlink v0.9 L1,2019-05-24T02:29:40.000Z,SpaceX,Falcon 9 Block 5
mis_1ryarn8y0,Thaicom-6,2014-01-06T22:05:40.000Z,SpaceX,Falcon 9 v1.1
mis_tofgqs4vc,Two Thumbs Up,2019-03-28T23:26:40.000Z,Rocket Lab,Electron
mis_nl7inhcwt,PSLV-CA,2019-05-21T23:59:40.000Z,SpaceX,PSLV-CA
mis_8z4abhch1,"RADARSAT C-1, C-2, C-3",2019-06-12T14:16:40.000Z,SpaceX,Falcon 9 Block 5
mis_j5v07aw4t,AEHF-5,2019-08-08T10:12:40.000Z,United Launch Alliance,Atlas V 551
mis_12e6l3qgb,Ariane VA248,2019-06-20T21:42:40.000Z,United Launch Alliance,Ariane 5 ECA
mis_5i3eixe9f,Make it Rain,2019-06-29T04:29:40.000Z,Rocket Lab,Electron
mis_1rjterd09,CRS-18,2019-07-25T22:01:36.000Z,SpaceX,Falcon 9 Block 5
mis_1nmpzfaty,AMOS-17,2019-08-06T23:22:40.000Z,SpaceX,Falcon 9 Block 5
mis_1mphplmwd,STS-129,2009-11-16T19:27:49.000Z,NASA,Space Shuttle Atlantis OV-104
mis_18ehkfej4,"Look Ma, No Hands",2019-08-19T12:11:40.000Z,Rocket Lab,Electron
mis_1plsi4czc,GPS Block III SV02,2019-08-22T13:05:40.000Z,United Launch Alliance,"Delta IV M+(4,2)"
mis_2sqsxmyzc,Starliner OFT-1,2019-12-20T11:36:23.000Z,United Launch Alliance,Atlas V N22
mis_1q81au40o,Starship + SuperHeavy,2011-05-16T12:56:08.000Z,SpaceX,SuperHeavy
mis_cdqah8o8n,Starlink v1.0 L1,2019-11-11T14:55:40.000Z,SpaceX,Falcon 9 Block 5
mis_kce4d0wa0,SAOCOM-1B,2020-08-30T23:17:40.000Z,SpaceX,Falcon 9 Block 5
mis_12mgth7y1,As The Crow Flies,2019-10-17T01:21:40.000Z,Rocket Lab,Electron
mis_chholzqir,Cygnus NG-12,2019-11-02T13:59:27.000Z,Northrop Grumman,Antares 230+
mis_8qd9fih2n,CRS-19,2019-12-05T17:29:04.000Z,SpaceX,Falcon 9 Block 5
mis_1y0aiyake,Ariane VA250,2019-11-26T21:22:40.000Z,Arianespace,Ariane 5 ECA
mis_1detnhkvt,Running Out Of Fingers,2019-12-06T08:17:40.000Z,Rocket Lab,Electron
mis_1ac51myiq,JCSAT-18 / KACIFIC-1,2019-12-17T00:09:40.000Z,SpaceX,Falcon 9 Block 5
mis_1bn40a5si,Crew Dragon In Flight Abort,2020-01-19T15:29:40.000Z,SpaceX,Falcon 9 Block 5
mis_bxkzibpn6,Starlink v1.0 L2,2020-01-07T02:18:40.000Z,SpaceX,Falcon 9 Block 5
mis_sw6nhbw0w,Starlink v1.0 L3,2020-01-29T14:05:40.000Z,SpaceX,Falcon 9 Block 5
mis_1fxkf2qz0,Starlink v1.0 L4,2020-02-17T15:05:35.000Z,SpaceX,Falcon 9 Block 5
mis_1a4w0d4h3,Cygnus NG-13,2020-02-15T20:20:41.000Z,Northrop Grumman,Antares 230+
mis_gnuldkk3f,Solar Orbiter,2020-02-10T04:02:40.000Z,United Launch Alliance,Atlas V 411
mis_1tid6tkkd,Soyuz VS21 - OneWeb 1 (F6),2019-02-27T21:36:40.000Z,Arianespace,Soyuz STB/Fregat
mis_8nc92q63q,CRS-20,2020-03-07T04:50:11.000Z,SpaceX,Falcon 9 Block 5
mis_ye33reoxv,Soyuz VS22 O3B,2019-04-04T17:03:17.000Z,Arianespace,Soyuz STB/Fregat
mis_vvv8hlgjw,One of Three,2020-09-12T03:18:40.000Z,Astra,Electron
mis_nflsgb3pb,Starlink v1.0 L5,2020-03-18T12:16:19.000Z,SpaceX,Falcon 9 Block 5
mis_23byi8gtu,AEHF-6,2020-03-26T20:17:40.000Z,United Launch Alliance,Atlas V 551
mis_1t09hk2rr,Falcon Eye 2,2020-12-02T01:33:08.000Z,Arianespace,Soyuz STB/Fregat
mis_3oj0gbuux,Demo Mission 2 (DM-2),2020-05-30T19:22:25.000Z,SpaceX,Falcon 9 Block 5
mis_7dxv48s9h,Falcon Heavy Expendable to TLI,2031-09-29T23:59:40.000Z,SpaceX,Falcon Heavy
mis_1d3zsngre,Apollo 13,1970-04-11T19:12:40.000Z,NASA,Saturn V
mis_13dvypwi9,Starlink v1.0 L6,2020-04-22T19:29:40.000Z,SpaceX,Falcon 9 Block 5
mis_14wiymnir,Artemis 1,2022-11-16T06:47:24.000Z,NASA,SLS Block 1 Crew
mis_gd2smwbjk,Peregrine Lunar Lander,2023-05-03T23:59:40.000Z,United Launch Alliance,Atlas V 551
mis_bsqn4r7j7,Starlink v1.0 L7,2020-06-04T01:24:40.000Z,SpaceX,Falcon 9 Block 5
mis_bqx3fz9tb,Starlink v1.0 L8,2020-06-13T09:20:40.000Z,SpaceX,Falcon 9 Block 5
mis_3afrftf6c,Don't Stop Me Now,2020-06-13T05:11:52.000Z,Rocket Lab,Electron
mis_paqytqz0v,Starlink v1.0 L9,2020-08-07T05:11:40.000Z,SpaceX,Falcon 9 Block 5
mis_1y20hw626,GPS Block III SV03,2020-06-30T20:10:26.000Z,SpaceX,Falcon 9 Block 5
mis_1wyqoldjr,Perseverance (Mars 2020),2020-07-30T11:49:40.000Z,United Launch Alliance,Atlas V 541
mis_18zmoo5w4,Progress MS-15,2020-07-23T14:26:02.000Z,Roscosmos,Soyuz STB/Fregat
mis_1bv7yejs4,ANASIS-II,2020-07-20T21:29:40.000Z,SpaceX,Falcon 9 Block 5
mis_66b034flp,NROL-44,2020-12-11T01:08:40.000Z,United Launch Alliance,Delta IV Heavy
mis_92ljstwy7,Starlink v1.0 L10,2020-08-18T14:30:40.000Z,SpaceX,Falcon 9 Block 5
mis_1bxf88xy9,I Can't Believe It's Not Optical,2020-08-31T03:05:27.000Z,Rocket Lab,Electron
mis_8o6vrlo4s,Vega VV16 SSMS POC,2020-09-03T01:50:50.000Z,Arianespace,Vega
mis_1uut3byy6,Starlink v1.0 L11,2020-09-03T12:45:40.000Z,SpaceX,Falcon 9 Block 5
mis_q5muykif6,Starlink v1.0 L12,2020-10-06T11:29:14.000Z,SpaceX,Falcon 9 Block 5
mis_1srafqcu2,GPS III SV04,2020-11-05T23:24:03.000Z,SpaceX,Falcon 9 Block 5
mis_1qryr63hq,Cygnus NG-14,2020-10-03T01:15:54.000Z,Northrop Grumman,Antares 230+
mis_nfcpz1qda,Crew Flight 1 (USCV-1),2020-11-16T00:26:57.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_luqu52u7w,Starlink v1.0 L13,2020-10-18T12:25:37.000Z,SpaceX,Falcon 9 Block 5
mis_3af7jzw3t,Starlink v1.0 L14,2020-10-24T15:31:14.000Z,SpaceX,Falcon 9 Block 5
mis_9cigkb4bv,SXM-7,2020-12-13T17:29:40.000Z,SpaceX,Falcon 9 Block 5
mis_vumli602e,NROL-101,2020-11-13T22:31:40.000Z,United Launch Alliance,Atlas V 531
mis_1x9mb3d2q,Starship 12.5km,2020-12-09T22:45:05.000Z,SpaceX,Starship SN8
mis_zn7d4ub41,New Shepard Flight 13,2020-10-13T13:36:40.000Z,Blue Origin,
mis_12p10immu,Sentinel-6 Michael Freilich,2020-11-21T17:16:40.000Z,SpaceX,Falcon 9 Block 5
mis_2z8nd6vey,Starlink v1.0 L15,2020-11-25T02:12:40.000Z,SpaceX,Falcon 9 Block 5
mis_1wt1uz4lx,Return To Sender,2020-11-20T02:19:40.000Z,Rocket Lab,Electron
mis_3kxyyfb0d,CRS-21,2020-12-06T16:16:40.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_g2omcc8xw,Soyuz ST29 - OneWeb 4,2020-12-18T12:26:06.000Z,Arianespace,Soyuz STB/Fregat
mis_123swbgku,The Owl's Night Begins,2020-12-15T10:09:07.000Z,Rocket Lab,Electron
mis_cxqsakrsp,NROL-108,2020-12-19T13:59:40.000Z,SpaceX,Falcon 9 Block 5
mis_4z2dzccyb,Soyuz VS25 CSO-2,2020-12-29T16:41:47.000Z,Arianespace,Soyuz STB/Fregat
mis_aocb9z8dx,NROL-82,2021-04-26T20:46:40.000Z,United Launch Alliance,Delta IV Heavy
mis_chh72vh3v,It's a Little Chile Up Here,2021-07-29T05:59:40.000Z,Rocket Lab,Electron
mis_32ttqx6na,Transporter 1 (SSO-1),2021-01-24T14:59:40.000Z,SpaceX,Falcon 9 Block 5
mis_18mrfr1bh,SXM-8,2021-06-06T04:25:40.000Z,SpaceX,Falcon 9 Block 5
mis_29s4viv83,Turksat 5A,2021-01-08T02:14:40.000Z,SpaceX,Falcon 9 Block 5
mis_1htwqs9ls,Starship SN9 10km,2021-02-02T20:24:55.000Z,SpaceX,Starship SN9
mis_1e77z5wzb,Another One Leaves The Crust,2021-01-20T07:25:40.000Z,Rocket Lab,Electron
mis_1puk182c4,Starlink v1.0 L16,2021-01-20T13:01:40.000Z,SpaceX,Falcon 9 Block 5
mis_1j4gsjrad,Starlink v1.0 L17,2021-03-04T08:23:40.000Z,SpaceX,Falcon 9 Block 5
mis_yargvgepu,Starlink v1.0 L18,2021-02-04T06:19:34.000Z,SpaceX,Falcon 9 Block 5
mis_10uzbc3aw,Starlink v1.0 L19,2021-02-16T03:58:40.000Z,SpaceX,Falcon 9 Block 5
mis_fl7fci0ya,Cygnus NG-15,2021-02-20T17:35:40.000Z,Northrop Grumman,Antares 230+
mis_1nltwlsax,Starship SN10 10km,2021-03-03T23:14:40.000Z,SpaceX,Starship SN10
mis_go2s7ih9x,Starlink v1.0 L20,2021-03-11T08:12:40.000Z,SpaceX,Falcon 9 Block 5
mis_10jocgn7p,Starlink v1.0 L21,2021-03-14T10:00:40.000Z,SpaceX,Falcon 9 Block 5
mis_1hgrig7xu,Starlink v1.0 L22,2021-03-24T08:27:40.000Z,SpaceX,Falcon 9 Block 5
mis_1hn9s1gse,They Go Up So Fast,2021-03-22T22:29:40.000Z,Rocket Lab,Electron
mis_1vao562e8,Starship SN11 10km,2021-03-30T12:59:40.000Z,SpaceX,Starship SN11
mis_18b2rcmac,Starlink v1.0 L23,2021-04-07T16:33:40.000Z,SpaceX,Falcon 9 Block 5
mis_jgloz6zii,Crew Flight 2 (USCV-2),2021-04-23T09:48:42.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_167h5nswh,Starship SN15 10km,2021-05-05T22:23:40.000Z,SpaceX,Starship SN15
mis_u88nz1asg,Starlink v1.0 L24,2021-04-29T03:43:40.000Z,SpaceX,Falcon 9 Block 5
mis_devke4gky,Running Out Of Toes,2021-05-15T11:10:40.000Z,Rocket Lab,Electron
mis_1uusp4ihe,Starlink v1.0 L25,2021-05-04T19:00:40.000Z,SpaceX,Falcon 9 Block 5
mis_lk4aauow3,SBIRS GEO-5,2021-05-18T17:36:40.000Z,United Launch Alliance,Atlas V 421
mis_jr48um4yz,Starlink v1.0 L27,2021-05-09T06:41:40.000Z,SpaceX,Falcon 9 Block 5
mis_10ltkccsu,Starlink v1.0 L26,2021-05-15T22:55:40.000Z,SpaceX,Falcon 9 Block 5
mis_j42l8hist,Starlink v1.0 L28,2021-05-26T18:58:40.000Z,SpaceX,Falcon 9 Block 5
mis_lgx8tt1ox,CRS-22,2021-06-03T17:28:55.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_1w0b39280,GPS III SV05,2021-06-17T16:09:15.000Z,SpaceX,Falcon 9 Block 5
mis_1vjkmwr2e,Transporter 2,2021-06-30T19:30:40.000Z,SpaceX,Falcon 9 Block 5
mis_1ip45336n,NROL-111,2021-06-15T13:34:40.000Z,Northrop Grumman,Antares 230+
mis_qsuxsn3qp,CRS-23 Return,2021-08-29T07:14:29.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_16evr954u,Starliner OFT-2,2022-05-19T22:54:27.000Z,United Launch Alliance,Atlas V Starliner
mis_7mwrlrvgb,Inspiration4,2021-09-16T00:02:36.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_1nk694o9t,Love At First Insight,2021-11-18T01:37:53.000Z,Rocket Lab,Electron
mis_eruqgplhi,Firefly Alpha Maiden Flight,2021-09-03T01:58:40.000Z,Firefly Space,Firefly Alpha
mis_1xr6opeg4,Starlink Group 2-1,2021-09-14T03:54:40.000Z,SpaceX,Falcon 9 Block 5
mis_vo7uva8uz,Landsat 9,2021-09-27T18:11:40.000Z,United Launch Alliance,Atlas V 401
mis_1ac6uribn,LUCY,2021-10-16T09:33:40.000Z,United Launch Alliance,Atlas V 401
mis_1vvxefcaq,Crew Flight 3 (USCV-3),2021-11-11T02:03:11.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_o5dhpxy2e,CSG-2,2022-01-31T23:10:54.000Z,SpaceX,Falcon 9 Block 5
mis_3y81pfgst,Double Asteroid Redirection Test (DART),2021-11-24T06:20:42.000Z,SpaceX,Falcon 9 Block 5
mis_lfc1pajo6,Starlink Group 4-1,2021-11-13T12:18:40.000Z,SpaceX,Falcon 9 Block 5
mis_11hiz7iy0,USSF-8,2022-01-21T18:59:40.000Z,United Launch Alliance,Atlas V 511
mis_19otphp4x,A Data With Destiny,2021-12-09T00:01:40.000Z,Rocket Lab,Electron
mis_1gh00ooq7,STP-3,2021-12-07T10:18:40.000Z,United Launch Alliance,Atlas V 551
mis_162czxd1h,CRS-24 Return,2022-01-24T20:22:40Z,SpaceX,Falcon 9 + Crew Dragon
mis_6xtpok7sf,Starlink Group 4-6,2022-01-19T02:02:20.000Z,SpaceX,Falcon 9 Block 5
mis_176lgpou7,Starlink Group 4-7,2022-02-03T18:12:40.000Z,SpaceX,Falcon 9 Block 5
mis_qnwg78ak3,NROL-87,2022-02-02T20:27:06.000Z,SpaceX,Falcon 9 Block 5
mis_1ki4sbome,Without Mission A Beat,2022-04-02T12:40:40.000Z,Rocket Lab,Electron
mis_1sku97s8r,Starlink Group 4-8,2022-02-21T14:44:00.000Z,SpaceX,Falcon 9 Block 5
mis_xs8sy5p0m,Cygnus NG-16,2021-08-10T22:00:45.000Z,Northrop Grumman,Antares 230+
mis_ft3v4njvj,Cygnus NG-17,2022-02-19T17:39:43.000Z,Northrop Grumman,Antares 230+
mis_x1z7uiqlk,GOES-T,2022-03-01T21:37:40.000Z,United Launch Alliance,Atlas V 541
mis_1s705dytl,The Owl's Night Continues,2022-02-28T20:36:40.000Z,Rocket Lab,Electron
mis_19n3r7v8g,Starlink Group 4-11,2022-02-25T17:11:50.000Z,SpaceX,Falcon 9 Block 5
mis_g3xebtrzo,Starlink Group 4-9,2022-03-03T14:24:40.000Z,SpaceX,Falcon 9 Block 5
