Latitude,,Longitude,
X,Y,X,Y
13.301021291327686,28.29619921363036,13.301021291327686,-80.43493425781082
40.34620045006059,28.086447807889016,40.34620045006059,-80.11531306810969
67.3913796087935,27.906660888682154,67.3913796087935,-80.07536041939716
94.4365587675264,27.67693315858449,94.4365587675264,-80.07536041939716
121.48173792625931,27.67693315858449,121.48173792625931,-79.99545512197187
148.5269170849922,27.67693315858449,148.5269170849922,-79.68582209444895
175.57209624372513,27.67693315858449,175.57209624372513,-79.45609436435132
202.617275402458,27.427229104130504,202.617275402458,-78.93670993108697
229.66245456119094,27.127584238785744,229.66245456119094,-78.45727814653537
256.7076337199238,26.668128778590415,256.7076337199238,-77.72814230752977
283.75281287865675,26.25861412928586,283.75281287865675,-76.92908933327698
310.79799203738963,25.779182344734238,310.79799203738963,-76.1799771699151
337.84317119612257,25.279774235826267,337.84317119612257,-75.45084133090955
364.88835035485545,24.840295099987287,364.88835035485545,-74.731693654082
391.9335295135883,24.42079228850463,391.9335295135883,-73.98258149072001
418.97870867232126,23.861455206527637,418.97870867232126,-73.09363505686389
446.0238878310542,23.062402232274934,446.0238878310542,-72.2346531095422
473.06906698978713,22.233384771487692,473.06906698978713,-71.00610916162861
500.11424614851995,21.26453304020626,500.11424614851995,-69.73761256500234
527.1594253072528,20.395562930706404,527.1594253072528,-68.4990804549106
554.2046044659858,19.24692428021808,554.2046044659858,-67.12071407432472
581.2497836247187,18.058332981017145,581.2497836247187,-65.61250158542259
608.2949627834516,16.779848222212763,608.2949627834516,-64.09430093434236
635.3401419421846,15.541316112121024,635.3401419421846,-62.58608844544034
662.3853211009175,14.312772164207445,662.3853211009175,-61.06788779436016
689.4305002596504,13.084228216293866,689.4305002596504,-59.549687143279925
716.4756794183834,11.855684268380287,716.4756794183834,-58.03148649219992
743.5208585771161,10.64711664482303,743.5208585771161,-56.52327400329784
770.566037735849,9.418572696909393,770.566037735849,-55.00507335221744
797.611216894582,8.200016911174032,797.611216894582,-53.4868727011372
824.6563960533149,6.9415084767259145,824.6563960533149,-51.958683887878976
851.7015752120478,5.732940853168657,851.7015752120478,-50.4404832367988
878.7467543707808,4.624254851393005,878.7467543707808,-48.952247072253044
905.7919335295135,3.525557011795513,905.7919335295135,-47.42405825899465
932.8371126882464,2.4268591721979647,932.8371126882464,-45.91584577009263
959.8822918469793,1.3681139813131153,959.8822918469793,-44.39764511901245
986.4912584386359,0.24344692005234947,986.4912584386359,-42.89875491481001
